Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity_category,cluster_1,cluster_2,cluster_3,best_feature,optimal_value,predicted_increase
410.0,David Ramirez,Goodbye,3Tu5k1C7ui9VnoTZrYZn2u,12,2012,acoustic,0.463,0.034,11,-18.503,1,0.0364,0.929,0.000104,0.111,0.221,91.606,149400,3,Low,True,False,False,loudness,0.0,2.822020574445194
411.0,Kaki King,No True Masterpiece Will Ever Be Complete,2sQVXnBwlXdyrMmGUSSUcM,14,2012,acoustic,0.501,0.377,3,-15.423,1,0.0301,0.77,0.929,0.142,0.241,137.88,204184,3,Low,False,True,False,duration_ms,90748.9111111111,1.202008866864059
412.0,Steve Petrunak,Yesterday Once More,3t1HSy5iSTNlwlb7JVw54L,24,2012,acoustic,0.722,0.401,4,-7.479,1,0.058,0.903,0.798,0.101,0.294,82.99,265926,4,Low,False,True,False,speechiness,0.0,4.819431639785929
413.0,Eric Hutchinson,Living in the Afterlife,0OaFGpWo2SALjXQGcWZRDs,12,2012,acoustic,0.639,0.919,9,-5.749,1,0.0448,0.004,5.75e-06,0.104,0.688,103.991,270693,4,Low,False,False,False,energy,0.7502222222222223,1.321160904245847
414.0,Harley Poe,Herschell,3h5kgYI6Etafu9WbTqaI8o,13,2012,acoustic,0.698,0.625,9,-5.642,0,0.167,0.341,0.0,0.239,0.761,81.525,264000,4,Low,False,False,False,acousticness,0.141,2.7830031687194605
415.0,Matthew Perryman Jones,O Theo,4agM4Z6YLKo6ksodu072lW,15,2012,acoustic,0.337,0.577,0,-7.881,1,0.0313,0.721,0.00945,0.128,0.262,157.96,302320,3,Low,True,False,False,instrumentalness,0.0,1.66879206953881
416.0,Tristan Prettyman,Deepest Ocean Blue,7649aUauAZ8tfvbjW78cHH,11,2012,acoustic,0.506,0.084,11,-11.393,1,0.0373,0.751,0.004,0.107,0.336,118.33,330600,4,Low,True,False,False,loudness,0.0,1.8598186855029797
417.0,Tyrone Wells,"Beautiful Girl, Beautiful World",3bBUDZNQ2x42KWhKrNsQvE,13,2012,acoustic,0.596,0.184,4,-13.857,1,0.0317,0.642,0.0,0.187,0.591,128.142,186265,3,Low,True,False,False,loudness,0.0,2.534102497186705
418.0,Tony Sly,Pre-Medicated Murder,6sTzJD69ZNCiynzd3B64ZH,18,2012,acoustic,0.472,0.375,9,-6.86,1,0.0279,0.754,4.21e-06,0.33,0.241,142.172,163547,4,Low,True,False,False,danceability,0.6719999999999999,2.980202432109891
419.0,Lulu Panganiban,I'll Never Get Over You Getting Over Me,0t9lXLs71zNvqsUcBZrOi8,30,2012,acoustic,0.503,0.319,9,-10.172,1,0.0264,0.728,3.67e-06,0.155,0.355,163.856,236013,4,Low,True,False,False,liveness,0.0,1.8961767618472576
420.0,Jaymay,Lamb,7fvb00s9dY59NUhvtyhp6N,15,2012,acoustic,0.665,0.394,3,-8.372,1,0.034,0.517,0.0,0.371,0.77,150.978,118979,3,Low,True,False,False,valence,0.5700000000000001,4.435273334671427
